quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
Gò Vấp,147.0,479.0,17.0,18.0,16.8
Tân Phú,180.0,179.0,13.0,13.0,23.0
10,53.0,53.0,2.0,2.0,4.3
9,233.0,233.0,28.0,28.0,26.0
10,102.0,102.0,2.0,2.0,3.7
10,79.0,79.0,2.0,2.0,4.9
10,72.0,72.0,2.0,2.0,5.5
10,103.0,103.0,3.0,2.0,8.2
9,59.0,59.0,2.0,1.0,1.58
10,107.0,107.0,3.0,2.0,8.1
10,86.0,86.0,2.0,2.0,7.0
Bình Tân,200.0,200.0,6.0,7.0,15.0
10,60.0,60.0,1.0,1.0,4.623
Bình Tân,190.0,190.0,4.0,6.0,17.5
Tân Phú,41.5,41.5,4.0,3.0,6.5
5,68.0,68.0,2.0,2.0,3.515
Bình Tân,365.0,365.0,1.0,1.0,70.0
Bình Tân,40.0,40.0,4.0,3.0,4.95
9,100.0,278.0,5.0,5.0,11.5
Bình Tân,76.0,76.0,3.0,2.0,6.4
7,80.0,80.0,3.0,2.0,6.8
Tân Phú,56.0,56.0,4.0,4.0,9.8
Bình Tân,60.0,60.0,4.0,4.0,9.7
7,56.51,56.51,2.0,1.0,4.75
Bình Tân,56.0,56.0,4.0,4.0,8.5
7,170.0,170.0,4.0,3.0,21.0
7,70.12,70.12,3.0,2.0,5.5
7,170.0,170.0,4.0,3.0,21.0
7,101.0,101.0,3.0,2.0,7.2
Bình Tân,150.0,150.0,2.0,1.0,8.7
7,170.0,170.0,4.0,3.0,21.0
7,68.0,68.0,2.0,2.0,5.48
Bình Tân,69.0,69.0,5.0,5.0,9.0
7,170.0,170.0,4.0,3.0,21.0
7,75.0,75.0,3.0,2.0,5.05
Bình Tân,56.0,56.0,2.0,2.0,5.8
7,170.0,170.0,4.0,3.0,21.0
7,99.0,99.0,3.0,3.0,8.8
Bình Tân,56.0,56.0,4.0,3.0,5.9
7,170.0,170.0,4.0,3.0,21.0
Bình Tân,56.0,56.0,2.0,2.0,5.4
7,122.0,122.0,3.0,2.0,11.0
7,122.0,122.0,3.0,2.0,11.0
7,88.0,88.0,3.0,2.0,5.99
Bình Tân,58.0,58.0,5.0,5.0,7.6
7,138.0,310.0,4.0,5.0,15.9
7,122.0,122.0,3.0,2.0,11.0
Bình Tân,80.0,80.0,2.0,1.0,5.8
7,122.0,122.0,3.0,2.0,11.0
5,40.0,200.0,10.0,11.0,15.5
Bình Tân,64.0,62.0,4.0,4.0,7.8
7,70.12,70.12,3.0,2.0,5.63
Phú Nhuận,70.0,350.0,5.0,5.0,18.0
Bình Tân,66.0,66.0,5.0,5.0,8.2
7,72.0,72.0,3.0,2.0,5.48
Phú Nhuận,55.0,200.0,5.0,5.0,13.3
Bình Tân,88.0,88.0,2.0,2.0,11.0
3,86.7,350.0,4.0,4.0,65.0
Bình Tân,60.0,60.0,5.0,5.0,7.0
Bình Thạnh,45.0,270.0,6.0,6.0,13.0
1,139.0,139.0,2.0,2.0,43.0
7,72.0,72.0,3.0,2.0,5.9
1,105.0,279.0,5.0,5.0,21.5
7,112.0,242.0,7.0,7.0,17.5
1,135.0,135.0,2.0,2.0,43.0
7,100.0,100.0,3.0,2.0,8.15
10,68.0,300.0,6.0,6.0,20.0
Bình Tân,150.0,150.0,2.0,1.0,8.7
1,139.0,139.0,2.0,2.0,43.0
5,88.0,300.0,3.0,3.0,25.0
Bình Tân,100.0,100.0,2.0,1.0,6.6
1,139.0,139.0,2.0,2.0,43.0
7,114.0,114.0,3.0,2.0,8.5
Bình Tân,65.0,65.0,1.0,1.0,5.65
3,50.0,100.0,2.0,3.0,9.98
7,110.0,198.0,4.0,5.0,18.0
7,72.0,72.0,3.0,2.0,5.55
3,40.0,120.0,3.0,3.0,8.3
Bình Tân,60.0,60.0,3.0,2.0,5.8
1,40.0,200.0,6.0,6.0,15.0
7,56.51,56.51,2.0,1.0,4.65
10,40.0,120.0,3.0,2.0,7.8
Bình Tân,56.0,56.0,2.0,2.0,5.85
7,88.0,88.0,3.0,2.0,5.98
Bình Tân,108.0,108.0,2.0,2.0,10.5
10,45.0,120.0,3.0,3.0,9.0
Bình Tân,67.0,67.0,4.0,4.0,6.6
10,40.0,100.0,3.0,3.0,14.0
5,60.0,250.0,5.0,6.0,20.4
Bình Tân,72.0,72.0,4.0,4.0,8.3
7,88.0,88.0,3.0,2.0,5.9
1,75.0,300.0,8.0,9.0,15.0
Bình Tân,48.0,48.0,1.0,1.0,5.5
7,68.0,68.0,2.0,2.0,5.4
1,105.0,279.0,5.0,5.0,21.5
1,105.0,279.0,5.0,5.0,21.5
1,40.0,200.0,6.0,6.0,15.0
1,75.0,300.0,8.0,9.0,15.0
1,73.0,160.0,2.0,2.0,28.0
1,80.0,250.0,5.0,5.0,25.0
1,40.0,157.0,4.0,4.0,24.0
1,40.0,100.0,2.0,3.0,8.5
1,43.0,200.0,4.0,5.0,13.0
1,35.0,150.0,5.0,5.0,7.8
1,70.0,200.0,4.0,4.0,21.5
1,50.0,200.0,4.0,5.0,12.9
1,82.0,354.0,10.0,10.0,30.0
1,35.0,130.0,4.0,5.0,13.9
1,72.0,300.0,7.0,8.0,20.5
1,66.0,350.0,8.0,8.0,20.5
1,35.0,120.0,5.0,5.0,0.007
1,45.0,120.0,4.0,4.0,9.5
1,45.0,160.0,4.0,4.0,19.0
1,36.0,102.0,3.0,3.0,8.8
1,70.0,300.0,5.0,5.0,14.5
1,55.0,200.0,4.0,4.0,10.6
1,51.0,155.0,4.0,4.0,58.0
1,102.0,300.0,6.0,6.0,35.0
1,75.0,350.0,8.0,8.0,19.5
1,77.0,210.0,3.0,3.0,28.5
1,45.0,200.0,5.0,5.0,12.6
1,88.0,88.0,1.0,1.0,43.0
1,137.0,799.0,6.0,6.0,40.0
