quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
4,55.0,165.0,4.0,3.0,1.1
8,53.0,53.0,2.0,2.0,1.739
12,30.0,50.0,2.0,2.0,1.38
8,120.0,600.0,3.0,4.0,15.0
8,61.0,122.0,3.0,2.0,1.29
9,57.5,183.0,3.0,3.0,4.85
6,64.0,187.0,2.0,3.0,11.3
3,335.0,335.0,7.0,7.0,270.0
Tân Bình,116.0,550.0,10.0,10.0,33.5
6,90.0,90.0,5.0,4.0,13.5
4,72.0,72.0,2.0,2.0,5.0
Tân Phú,50.0,50.0,3.0,2.0,6.45
1,256.0,829.0,4.0,5.0,85.0
8,54.0,54.0,3.0,2.0,5.5
1,140.0,350.0,8.0,9.0,36.0
4,92.0,92.0,2.0,2.0,5.5
Gò Vấp,68.0,270.0,8.0,7.0,9.99
11,48.0,48.0,2.0,1.0,5.8
4,65.0,65.0,3.0,3.0,3.14
4,70.0,70.0,4.0,5.0,3.9
8,48.0,96.0,2.0,2.0,0.95
4,60.0,120.0,3.0,3.0,0.96
3,78.0,350.0,6.0,7.0,50.0
Bình Tân,89.0,89.0,1.0,1.0,3.5
2,77.0,77.0,2.0,2.0,1.28
11,91.5,235.2,1.0,1.0,70.0
9,105.0,150.0,4.0,4.0,17.0
4,70.0,70.0,4.0,3.0,2.25
Tân Phú,69.0,280.0,6.0,6.0,8.9
7,95.0,95.0,4.0,5.0,8.5
9,121.0,121.0,3.0,4.0,6.1
Bình Thạnh,85.0,150.0,4.0,3.0,7.5
11,63.0,196.0,5.0,5.0,12.0
Thủ Đức (TP. Thủ Đức),501.0,1982.0,6.0,6.0,95.0
9,77.0,77.0,2.0,1.0,5.9
8,56.0,168.0,4.0,3.0,0.991
Thủ Đức (TP. Thủ Đức),67.0,67.0,2.0,2.0,5.2
Bình Tân,72.0,72.0,5.0,5.0,9.5
6,256.0,256.0,5.0,5.0,26.8
12,162.0,162.0,4.0,4.0,8.9
Thủ Đức (TP. Thủ Đức),81.0,81.0,2.0,4.0,7.7
7,270.0,400.0,4.0,4.0,16.9
6,54.0,54.0,2.0,1.0,5.7
8,62.0,120.0,3.0,3.0,0.985
5,43.0,86.0,3.0,2.0,4.12
Bình Thạnh,100.0,100.0,7.0,7.0,14.8
7,112.0,112.0,2.0,1.0,16.0
Gò Vấp,40.0,80.0,2.0,2.0,4.68
4,80.0,80.0,2.0,2.0,5.0
12,170.0,170.0,4.0,4.0,15.5
5,72.0,144.0,3.0,3.0,1.44
9,210.0,500.0,8.0,8.0,19.0
12,30.0,60.0,2.0,2.0,1.85
10,53.0,53.0,2.0,2.0,4.3
6,98.0,98.0,3.0,2.0,9.0
Thủ Đức (TP. Thủ Đức),36.0,36.0,2.0,2.0,3.2
9,280.0,280.0,2.0,1.0,16.9
Phú Nhuận,96.0,96.0,5.0,6.0,29.0
12,40.0,60.0,2.0,2.0,3.75
9,45.0,68.0,1.0,1.0,8.3
2,120.0,400.0,4.0,4.0,75.0
12,74.0,74.0,4.0,5.0,8.7
6,72.0,240.0,4.0,5.0,10.7
12,30.0,90.0,2.0,3.0,1.78
Phú Nhuận,102.0,714.0,6.0,6.0,29.0
6,100.0,380.0,4.0,6.0,15.0
Tân Phú,60.0,120.0,3.0,2.0,3.69
Bình Tân,50.0,141.0,4.0,3.0,8.0
Bình Tân,30.0,45.0,2.0,2.0,2.899
4,92.0,92.0,2.0,2.0,4.5
11,43.0,78.0,3.0,3.0,8.15
1,68.0,136.0,3.0,3.0,24.0
Tân Phú,56.0,110.0,3.0,2.0,8.2
11,52.0,198.0,6.0,5.0,8.6
2,95.0,95.0,3.0,2.0,1.689
2,86.0,220.0,4.0,4.0,42.0
Tân Bình,67.5,249.0,5.0,4.0,6.0
12,88.0,88.0,3.0,2.0,7.85
7,140.0,140.0,5.0,5.0,41.0
Bình Thạnh,48.0,95.0,3.0,2.0,5.9
Thủ Đức (TP. Thủ Đức),47.0,47.0,2.0,2.0,3.75
9,80.1,240.0,4.0,3.0,6.4
4,105.0,105.0,3.0,2.0,4.3
Bình Tân,65.0,65.0,1.0,1.0,5.65
3,128.0,384.0,3.0,3.0,50.0
7,195.0,196.0,2.0,1.0,11.2
2,61.0,61.0,2.0,2.0,1.55
Phú Nhuận,80.0,280.0,4.0,4.0,33.0
11,59.0,56.0,7.0,8.0,9.599
9,68.0,138.0,3.0,3.0,5.75
Tân Bình,84.0,160.0,2.0,2.0,11.0
9,83.0,83.0,3.0,1.0,5.99
9,227.0,303.0,4.0,3.0,65.0
9,70.0,140.0,3.0,3.0,1.15
Bình Thạnh,80.0,130.0,3.0,3.0,5.8
4,86.0,86.0,2.0,2.0,3.0
Bình Thạnh,210.0,210.0,5.0,5.0,57.0
12,60.0,60.0,2.0,2.0,5.35
6,96.0,96.0,6.0,7.0,15.0
8,40.0,80.0,3.0,2.0,3.79
3,144.0,844.0,6.0,6.0,165.0
7,225.5,225.5,6.0,4.0,15.5
3,373.0,373.0,3.0,3.0,80.0
10,45.0,130.0,6.0,7.0,10.7
Bình Thạnh,57.0,250.0,7.0,8.0,11.5
Bình Tân,90.0,250.0,4.0,5.0,11.2
3,62.0,62.0,3.0,3.0,35.0
9,63.0,126.0,3.0,3.0,1.29
3,625.0,625.0,2.0,2.0,560.0
Tân Phú,56.0,250.0,5.0,6.0,6.39
